,Title,Authors,Page numbers,DOI,Year of publication
31,Dictionary Learning and Time Sparsity in Dynamic MRI,"Jose Caballero, Daniel Rueckert, Joseph V. Hajnal",Pages 256-263,/chapter/10.1007/978-3-642-33415-3_32,2012.0
32,Joint Reconstruction of Image and Motion in MRI: Implicit Regularization Using an Adaptive 3D Mesh,"Anne Menini, Pierre-AndrÃ© Vuissoz, Jacques Felblinger, Freddy Odille",Pages 264-271,/chapter/10.1007/978-3-642-33415-3_33,2012.0
33,Sparsity-Based Deconvolution of Low-Dose Perfusion CT Using Learned Dictionaries,"Ruogu Fang, Tsuhan Chen, Pina C. Sanelli",Pages 272-280,/chapter/10.1007/978-3-642-33415-3_34,2012.0
34,Fast Multi-contrast MRI Reconstruction,"Junzhou Huang, Chen Chen, Leon Axel",Pages 281-288,/chapter/10.1007/978-3-642-33415-3_35,2012.0
35,Steady-State Model of the Radio-Pharmaceutical Uptake for MR-PET,"Stefano Pedemonte, M. Jorge Cardoso, Simon Arridge, Brian F. Hutton, Sebastien Ourselin",Pages 289-297,/chapter/10.1007/978-3-642-33415-3_36,2012.0
36,Oriented Pattern Analysis for Streak Detection in Dermoscopy Images,"Maryam Sadeghi, Tim K. Lee, David McLean, Harvey Lui, M. Stella Atkins",Pages 298-306,/chapter/10.1007/978-3-642-33415-3_37,2012.0
37,Automated Foveola Localization in Retinal 3D-OCT Images Using Structural Support Vector Machine Prediction,"Yu-Ying Liu, Hiroshi Ishikawa, Mei Chen, Gadi Wollstein, Joel S. Schuman, James M. Rehg",Pages 307-314,/chapter/10.1007/978-3-642-33415-3_38,2012.0
38,Intrinsic Melanin and Hemoglobin Colour Components for Skin Lesion Malignancy Detection,"Ali Madooei, Mark S. Drew, Maryam Sadeghi, M. Stella Atkins",Pages 315-322,/chapter/10.1007/978-3-642-33415-3_39,2012.0
39,Anisotropic ssTEM Image Segmentation Using Dense Correspondence across Sections,"Dmitry Laptev, Alexander Vezhnevets, Sarvesh Dwivedi, Joachim M. Buhmann",Pages 323-330,/chapter/10.1007/978-3-642-33415-3_40,2012.0
40,Apoptosis Detection for Adherent Cell Populations in Time-Lapse Phase-Contrast Microscopy Images,"Seungil Huh, Dai Fei Elmer Ker, Hang Su, Takeo Kanade",Pages 331-339,/chapter/10.1007/978-3-642-33415-3_41,2012.0
41,Modeling Dynamic Cellular Morphology in Images,"Xing An, Zhiwen Liu, Yonggang Shi, Ning Li, Yalin Wang, Shantanu H. Joshi",Pages 340-347,/chapter/10.1007/978-3-642-33415-3_42,2012.0
42,Learning to Detect Cells Using Non-overlapping Extremal Regions,"Carlos Arteta, Victor Lempitsky, J. Alison Noble, Andrew Zisserman",Pages 348-356,/chapter/10.1007/978-3-642-33415-3_43,2012.0
43,Application of the IMM-JPDA Filter to Multiple Target Tracking in Total Internal Reflection Fluorescence Microscopy Images,"Seyed Hamid Rezatofighi, Stephen Gould, Richard Hartley, Katarina Mele, William E. Hughes",Pages 357-364,/chapter/10.1007/978-3-642-33415-3_44,2012.0
44,Image Segmentation with Implicit Color Standardization Using Spatially Constrained Expectation Maximization: Detection of Nuclei,"James Monaco, J. Hipp, D. Lucas, S. Smith, U. Balis, Anant Madabhushi",Pages 365-372,/chapter/10.1007/978-3-642-33415-3_45,2012.0
45,Detecting and Tracking Motion of Myxococcus xanthus Bacteria in Swarms,"Xiaomin Liu, Cameron W. Harvey, Haitao Wang, Mark S. Alber, Danny Z. Chen",Pages 373-380,/chapter/10.1007/978-3-642-33415-3_46,2012.0
46,Signal and Noise Modeling in Confocal Laser Scanning Fluorescence Microscopy,"Gerlind Herberich, Reinhard Windoffer, Rudolf E. Leube, Til Aach",Pages 381-388,/chapter/10.1007/978-3-642-33415-3_47,2012.0
47,Hierarchical Partial Matching and Segmentation of Interacting Cells,"Zheng Wu, Danna Gurari, Joyce Y. Wong, Margrit Betke",Pages 389-396,/chapter/10.1007/978-3-642-33415-3_48,2012.0
48,Hybrid Tracking and Mosaicking for Information Augmentation in Retinal Surgery,"RogÃ©rio Richa, BalÃ¡zs VÃ¡gvÃ¶lgyi, Marcin Balicki, Gregory Hager, Russell H. Taylor",Pages 397-404,/chapter/10.1007/978-3-642-33415-3_49,2012.0
49,Real Time Assistance for Stent Positioning and Assessment by Self-initialized Tracking,"Terrence Chen, Yu Wang, Peter Durlak, Dorin Comaniciu",Pages 405-413,/chapter/10.1007/978-3-642-33415-3_50,2012.0
50,Marker-Less Reconstruction of Dense 4-D Surface Motion Fields Using Active Laser Triangulation for Respiratory Motion Management,"Sebastian Bauer, Benjamin Berkels, Svenja Ettl, Oliver Arold, Joachim Hornegger, Martin Rumpf",Pages 414-421,/chapter/10.1007/978-3-642-33415-3_51,2012.0
51,Modeling of Multi-View 3D Freehand Radio Frequency Ultrasound,"T. Klein, M. Hansson, Nassir Navab",Pages 422-429,/chapter/10.1007/978-3-642-33415-3_52,2012.0
52,Towards Intra-operative PET for Head and Neck Cancer: Lymph Node Localization Using High-Energy Probes,"Dzhoshkun I. Shakir, Asli Okur, Alexander Hartl, Philipp Matthies, Sibylle I. Ziegler, Markus Essler et al.",Pages 430-437,/chapter/10.1007/978-3-642-33415-3_53,2012.0
53,Data-Driven Breast Decompression and Lesion Mapping from Digital Breast Tomosynthesis,"Michael Wels, B. M. Kelm, M. Hammon, Anna Jerebko, M. SÃ¼hling, Dorin Comaniciu",Pages 438-446,/chapter/10.1007/978-3-642-33415-3_54,2012.0
54,Real Time Image-Based Tracking of 4D Ultrasound Data,"Ola Kristoffer Ã˜ye, Wolfgang Wein, Dag Magne Ulvang, Knut Matre, Ivan Viola",Pages 447-454,/chapter/10.1007/978-3-642-33415-3_55,2012.0
55,Development of an MRI-Compatible Device for Prostate Focal Therapy,"Jeremy Cepek, Blaine Chronik, Uri Lindner, John Trachtenberg, Aaron Fenster",Pages 455-462,/chapter/10.1007/978-3-642-33415-3_56,2012.0
56,Intraoperative Ultrasound Guidance for Transanal Endoscopic Microsurgery,"Philip Pratt, Aimee Di Marco, Christopher Payne, Ara Darzi, Guang-Zhong Yang",Pages 463-470,/chapter/10.1007/978-3-642-33415-3_57,2012.0
57,Robotic Path Planning for Surgeon Skill Evaluation in Minimally-Invasive Sinus Surgery,"Narges Ahmidi, Gregory D. Hager, Lisa Ishii, Gary L. Gallia, Masaru Ishii",Pages 471-478,/chapter/10.1007/978-3-642-33415-3_58,2012.0
58,Stereoscopic Scene Flow for Robotic Assisted Minimally Invasive Surgery,Danail Stoyanov,Pages 479-486,/chapter/10.1007/978-3-642-33415-3_59,2012.0
59,Towards Computer-Assisted Deep Brain Stimulation Targeting with Multiple Active Contacts,"Silvain BÃ©riault, Yiming Xiao, Lara Bailey, D. Louis Collins, Abbas F. Sadikot, G. Bruce Pike",Pages 487-494,/chapter/10.1007/978-3-642-33415-3_60,2012.0
60,Multi-object Spring Level Sets (MUSCLE),"Blake C. Lucas, Michael Kazhdan, Russell H. Taylor",Pages 495-503,/chapter/10.1007/978-3-642-33415-3_61,2012.0
61,Combining CRF and Multi-hypothesis Detection for Accurate Lesion Segmentation in Breast Sonograms,"Zhihui Hao, Qiang Wang, Yeong Kyeong Seong, Jong-Ha Lee, Haibing Ren, Ji-yeun Kim",Pages 504-511,/chapter/10.1007/978-3-642-33415-3_62,2012.0
62,Hierarchical Manifold Learning,"Kanwal K. Bhatia, Anil Rao, Anthony N. Price, Robin Wolz, Jo Hajnal, Daniel Rueckert",Pages 512-519,/chapter/10.1007/978-3-642-33415-3_63,2012.0
63,Vertebral Body Segmentation in MRI via Convex Relaxation and Distribution Matching,"Ismail Ben Ayed, Kumaradevan Punithakumar, Rashid Minhas, Rohit Joshi, Gregory J. Garvin",Pages 520-527,/chapter/10.1007/978-3-642-33415-3_64,2012.0
64,Evaluating Segmentation Error without Ground Truth,"Timo Kohlberger, Vivek Singh, Chris Alvino, Claus Bahlmann, Leo Grady",Pages 528-536,/chapter/10.1007/978-3-642-33415-3_65,2012.0
65,Rotational-Slice-Based Prostate Segmentation Using Level Set with Shape Constraint for 3D End-Firing TRUS Guided Biopsy,"Wu Qiu, Jing Yuan, Eranga Ukwatta, David Tessier, Aaron Fenster",Pages 537-544,/chapter/10.1007/978-3-642-33415-3_66,2012.0
66,Segmentation of Biological Target Volumes on Multi-tracer PET Images Based on Information Fusion for Achieving Dose Painting in Radiotherapy,"BenoÃ®t Lelandais, Isabelle Gardin, Laurent Mouchard, Pierre Vera, Su Ruan",Pages 545-552,/chapter/10.1007/978-3-642-33415-3_67,2012.0
67,Local Implicit Modeling of Blood Vessels for Interactive Simulation,"A. Yureidini, E. Kerrien, J. Dequidt, Christian Duriez, S. Cotin",Pages 553-560,/chapter/10.1007/978-3-642-33415-3_68,2012.0
68,Real-Time 3D Image Segmentation by User-Constrained Template Deformation,"BenoÃ®t Mory, Oudom Somphone, Raphael Prevost, Roberto Ardon",Pages 561-568,/chapter/10.1007/978-3-642-33415-3_69,2012.0
69,"Prior Knowledge, Random Walks and Human Skeletal Muscle Segmentation","P. -Y. Baudin, N. Azzabou, P. G. Carlier, Nikos Paragios",Pages 569-576,/chapter/10.1007/978-3-642-33415-3_70,2012.0
70,Similarity-Based Appearance-Prior for Fitting a Subdivision Mesh in Gene Expression Images,"Yen H. Le, Uday Kurkure, Nikos Paragios, Tao Ju, James P. Carson, Ioannis A. Kakadiaris",Pages 577-584,/chapter/10.1007/978-3-642-33415-3_71,2012.0
71,Learning Context Cues for Synapse Segmentation in EM Volumes,"Carlos Becker, Karim Ali, Graham Knott, Pascal Fua",Pages 585-592,/chapter/10.1007/978-3-642-33415-3_72,2012.0
72,Estimation of the Prior Distribution of Ground Truth in the STAPLE Algorithm: An Empirical Bayesian Approach,"Alireza Akhondi-Asl, Simon K. Warfield",Pages 593-600,/chapter/10.1007/978-3-642-33415-3_73,2012.0
73,Unified Geometry and Topology Correction for Cortical Surface Reconstruction with Intrinsic Reeb Analysis,"Yonggang Shi, Rongjie Lai, Arthur W. Toga",Pages 601-608,/chapter/10.1007/978-3-642-33415-3_74,2012.0
74,Automatic Detection and Classification of Teeth in CT Data,"Nguyen The Duy, Hans Lamecker, Dagmar Kainmueller, Stefan Zachow",Pages 609-616,/chapter/10.1007/978-3-642-33415-3_75,2012.0
75,Strain-Based Regional Nonlinear Cardiac Material Properties Estimation from Medical Images,"Ken C. L. Wong, Jatin Relan, Linwei Wang, Maxime Sermesant, HervÃ© Delingette, Nicholas Ayache et al.",Pages 617-624,/chapter/10.1007/978-3-642-33415-3_76,2012.0
76,Frangi Goes US : Multiscale Tubular Structure Detection Adapted to 3D Ultrasound,"Paulo Waelkens, Seyed-Ahmad Ahmadi, Nassir Navab",Pages 625-633,/chapter/10.1007/978-3-642-33415-3_77,2012.0
77,Limited Angle C-Arm Tomography and Segmentation for Guidance of Atrial Fibrillation Ablation Procedures,"Dirk SchÃ¤fer, Carsten Meyer, Roland Bullens, Axel Saalbach, Peter Eshuis",Pages 634-641,/chapter/10.1007/978-3-642-33415-3_78,2012.0
78,Automatic Non-rigid Temporal Alignment of IVUS Sequences,"Marina Alberti, Simone Balocco, Xavier Carrillo, Josepa Mauri, Petia Radeva",Pages 642-650,/chapter/10.1007/978-3-642-33415-3_79,2012.0
79,Stochastic 3D Motion Compensation of Coronary Arteries from Monoplane Angiograms,"Jonathan Hadida, Christian Desrosiers, Luc Duong",Pages 651-658,/chapter/10.1007/978-3-642-33415-3_80,2012.0
80,A Fast Convex Optimization Approach to Segmenting 3D Scar Tissue from Delayed-Enhancement Cardiac MR Images,"Martin Rajchl, Jing Yuan, James A. White, Cyrus M. S. Nambakhsh, Eranga Ukwatta, Feng Li et al.",Pages 659-666,/chapter/10.1007/978-3-642-33415-3_81,2012.0
81,Robust Motion Correction in the Frequency Domain of Cardiac MR Stress Perfusion Sequences,"Vikas Gupta, Martijn van de Giessen, Hortense KiriÅŸli, Sharon W. Kirschbaum, Wiro J. Niessen, Boudewijn P. F. Lelieveldt",Pages 667-674,/chapter/10.1007/978-3-642-33415-3_82,2012.0
82,Localization of Sparse Transmural Excitation Stimuli from Surface Mapping,"Jingjia Xu, Azar Rahimi Dehaghani, Fei Gao, Linwei Wang",Pages 675-682,/chapter/10.1007/978-3-642-33415-3_83,2012.0
83,Automated Intraventricular Septum Segmentation Using Non-local Spatio-temporal Priors,"Mithun Das Gupta, Sheshadri Thiruvenkadam, Navneeth Subramanian, Satish Govind",Pages 683-690,/chapter/10.1007/978-3-642-33415-3_84,2012.0
84,Active Shape Model with Inter-profile Modeling Paradigm for Cardiac Right Ventricle Segmentation,"Mohammed S. ElBaz, Ahmed S. Fahmy",Pages 691-698,/chapter/10.1007/978-3-642-33415-3_85,2012.0
85,Tractometer: Online Evaluation System for Tractography,"Marc-Alexandre CÃ´tÃ©, Arnaud BorÃ©, Gabriel Girard, Jean-Christophe Houde, Maxime Descoteaux",Pages 699-706,/chapter/10.1007/978-3-642-33415-3_86,2012.0
86,A Novel Sparse Graphical Approach for Multimodal Brain Connectivity Inference,"Bernard Ng, GaÃ«l Varoquaux, Jean-Baptiste Poline, Bertrand Thirion",Pages 707-714,/chapter/10.1007/978-3-642-33415-3_87,2012.0
87,From Brain Connectivity Models to Identifying Foci of a Neurological Disorder,"Archana Venkataraman, Marek Kubicki, Polina Golland",Pages 715-722,/chapter/10.1007/978-3-642-33415-3_88,2012.0
88,Deriving Statistical Significance Maps for SVM Based Image Classification and Group Comparisons,"Bilwaj Gaonkar, Christos Davatzikos",Pages 723-730,/chapter/10.1007/978-3-642-33415-3_89,2012.0
89,Analysis of Longitudinal Shape Variability via Subject Specific Growth Modeling,"James Fishbaugh, Marcel Prastawa, Stanley Durrleman, Joseph Piven, Guido Gerig",Pages 731-738,/chapter/10.1007/978-3-642-33415-3_90,2012.0
90,Regional Flux Analysis of Longitudinal Atrophy in Alzheimerâ€™s Disease,"Marco Lorenzi, Nicholas Ayache, Xavier Pennec",Pages 739-746,/chapter/10.1007/978-3-642-33415-3_91,2012.0
91,Erratum: Localization of Sparse Transmural Excitation Stimuli from Surface Mapping,"Jingjia Xu, Azar Rahimi Dehaghani, Fei Gao, Linwei Wang",Pages E1-E1,/chapter/10.1007/978-3-642-33415-3_92,2012.0
92,Automatic Multi-model-Based Segmentation of the Left Atrium in Cardiac MRI Scans,"Dominik Kutra, Axel Saalbach, Helko Lehmann, Alexandra Groth, Sebastian P. M. Dries, Martin W. Krueger et al.",Pages 1-8,/chapter/10.1007/978-3-642-33418-4_1,2012.0
93,Curvilinear Structure Enhancement with the Polygonal Path Image - Application to Guide-Wire Segmentation in X-Ray Fluoroscopy,"Vincent Bismuth, RÃ©gis Vaillant, Hugues Talbot, Laurent Najman",Pages 9-16,/chapter/10.1007/978-3-642-33418-4_2,2012.0
94,Catheter Tracking via Online Learning for Dynamic Motion Compensation in Transcatheter Aortic Valve Implantation,"Peng Wang, Yefeng Zheng, Matthias John, Dorin Comaniciu",Pages 17-24,/chapter/10.1007/978-3-642-33418-4_3,2012.0
95,Evaluation of a Real-Time Hybrid Three-Dimensional Echo and X-Ray Imaging System for Guidance of Cardiac Catheterisation Procedures,"R. J. Housden, A. Arujuna, Y. Ma, N. Nijhof, G. Gijsbers, R. Bullens et al.",Pages 25-32,/chapter/10.1007/978-3-642-33418-4_4,2012.0
96,LBM-EP: Lattice-Boltzmann Method for Fast Cardiac Electrophysiology Simulation from 3D Images,"S. Rapaka, T. Mansi, B. Georgescu, M. Pop, G. A. Wright, A. Kamen et al.",Pages 33-40,/chapter/10.1007/978-3-642-33418-4_5,2012.0
97,Cardiac Mechanical Parameter Calibration Based on the Unscented Transform,"StÃ©phanie Marchesseau, HervÃ© Delingette, Maxime Sermesant, Kawal Rhode, Simon G. Duckett, C. Aldo Rinaldi et al.",Pages 41-48,/chapter/10.1007/978-3-642-33418-4_6,2012.0
98,Temporal Shape Analysis via the Spectral Signature,"Elena Bernardis, Ender Konukoglu, Yangming Ou, Dimitris N. Metaxas, Benoit Desjardins, Kilian M. Pohl",Pages 49-56,/chapter/10.1007/978-3-642-33418-4_7,2012.0
99,Joint T1 and Brain Fiber Log-Demons Registration Using Currents to Model Geometry,"Viviana Siless, Joan GlaunÃ¨s, Pamela Guevara, Jean-FranÃ§ois Mangin, Cyril Poupon, Denis Le Bihan et al.",Pages 57-65,/chapter/10.1007/978-3-642-33418-4_8,2012.0
100,Automated Skeleton Based Multi-modal Deformable Registration of Head&Neck Datasets,"Sebastian Steger, Stefan Wesarg",Pages 66-73,/chapter/10.1007/978-3-642-33418-4_9,2012.0
101,Lung Registration with Improved Fissure Alignment by Integration of Pulmonary Lobe Segmentation,"Alexander Schmidt-Richberg, Jan Ehrhardt, RenÃ© Werner, Heinz Handels",Pages 74-81,/chapter/10.1007/978-3-642-33418-4_10,2012.0
102,3D Ultrasound-CT Registration in Orthopaedic Trauma Using GMM Registration with Optimized Particle Simulation-Based Data Reduction,"Ilker Hacihaliloglu, Anna Brounstein, Pierre Guy, Antony Hodgson, Rafeef Abugharbieh",Pages 82-89,/chapter/10.1007/978-3-642-33418-4_11,2012.0
103,Hierarchical Attribute-Guided Symmetric Diffeomorphic Registration for MR Brain Images,"Guorong Wu, Minjeong Kim, Qian Wang, Dinggang Shen",Pages 90-97,/chapter/10.1007/978-3-642-33418-4_12,2012.0
104,Uncertainty-Based Feature Learning for Skin Lesion Matching Using a High Order MRF Optimization Framework,"Hengameh Mirzaalian, Tim K. Lee, Ghassan Hamarneh",Pages 98-105,/chapter/10.1007/978-3-642-33418-4_13,2012.0
105,Automatic Categorization of Anatomical Landmark-Local Appearances Based on Diffeomorphic Demons and Spectral Clustering for Constructing Detector Ensembles,"Shouhei Hanaoka, Yoshitaka Masutani, Mitsutaka Nemoto, Yukihiro Nomura, Takeharu Yoshikawa, Naoto Hayashi et al.",Pages 106-113,/chapter/10.1007/978-3-642-33418-4_14,2012.0
106,A Novel Approach for Global Lung Registration Using 3D Markov-Gibbs Appearance Model,"Ayman El-Baz, Fahmi Khalifa, Ahmed Elnakib, Matthew Nitzken, Ahmed Soliman, Patrick McClure et al.",Pages 114-121,/chapter/10.1007/978-3-642-33418-4_15,2012.0
107,Analytic Regularization of Uniform Cubic B-spline Deformation Fields,"James A. Shackleford, Qi Yang, Ana M. LourenÃ§o, Nadya Shusharina, Nagarajan Kandasamy, Gregory C. Sharp",Pages 122-129,/chapter/10.1007/978-3-642-33418-4_16,2012.0
108,Simultaneous Multiscale Polyaffine Registration by Incorporating Deformation Statistics,"Christof Seiler, Xavier Pennec, Mauricio Reyes",Pages 130-137,/chapter/10.1007/978-3-642-33418-4_17,2012.0
109,Fast Diffusion Tensor Registration with Exact Reorientation and Regularization,"Junning Li, Yonggang Shi, Giang Tran, Ivo Dinov, Danny J. J. Wang, Arthur W. Toga",Pages 138-145,/chapter/10.1007/978-3-642-33418-4_18,2012.0
110,Registration of Brainstem Surfaces in Adolescent Idiopathic Scoliosis Using Discrete Ricci Flow,"Minqi Zhang, Fang Li, Ying He, Shi Lin, Defeng Wang, Lok Ming Lui",Pages 146-154,/chapter/10.1007/978-3-642-33418-4_19,2012.0
111,Groupwise Rigid Registration of Wrist Bones,"Martijn van de Giessen, Frans M. Vos, Cornelis A. Grimbergen, Lucas J. van Vliet, Geert J. Streekstra",Pages 155-162,/chapter/10.1007/978-3-642-33418-4_20,2012.0
112,Automated Diffeomorphic Registration of Anatomical Structures with Rigid Parts: Application to Dynamic Cervical MRI,"Olivier Commowick, Nicolas Wiest-DaesslÃ©, Sylvain Prima",Pages 163-170,/chapter/10.1007/978-3-642-33418-4_21,2012.0
113,Large Deformation Diffeomorphic Registration of Diffusion-Weighted Images,"Pei Zhang, Marc Niethammer, Dinggang Shen, Pew-Thian Yap",Pages 171-178,/chapter/10.1007/978-3-642-33418-4_22,2012.0
114,Prediction of Brain MR Scans in Longitudinal Tumor Follow-Up Studies,"Lior Weizman, Liat Ben-Sira, Leo Joskowicz, Orna Aizenstein, Ben Shofty, Shlomi Constantini et al.",Pages 179-187,/chapter/10.1007/978-3-642-33418-4_23,2012.0
115,Resting-State FMRI Single Subject Cortical Parcellation Based on Region Growing,"Thomas Blumensath, Timothy E. J. Behrens, Stephen M. Smith",Pages 188-195,/chapter/10.1007/978-3-642-33418-4_24,2012.0
